EID,func,API use case
12,readlinkat,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
12,readlinkat,"__readlinkat_chk_warn (__fd, __path, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
12,readlinkat,"__readlinkat_alias (__fd, __path, __buf, __len);"
12,getcwd,"__builtin_object_size ((const void *) __buf, 1)"
12,getcwd,__builtin_constant_p (__size)
12,getcwd,"__getcwd_chk (__buf, __size, __builtin_object_size ((const void *) __buf, 1));"
12,getcwd,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
12,getcwd,"__getcwd_chk_warn (__buf, __size, __builtin_object_size ((const void *) __buf, 1));"
12,getcwd,"__getcwd_alias (__buf, __size);"
12,getwd,"__builtin_object_size ((const void *) __buf, 1)"
12,getwd,"__getwd_chk (__buf, __builtin_object_size ((const void *) __buf, 1));"
12,getwd,__getwd_warn (__buf);
12,confstr,"__builtin_object_size ((const void *) __buf, 1)"
12,confstr,__builtin_constant_p (__len)
12,confstr,"__confstr_chk (__name, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
12,confstr,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
12,confstr,"__confstr_chk_warn (__name, __buf, __len, __builtin_object_size ((const void *) __buf, 1));"
12,confstr,"__confstr_alias (__name, __buf, __len);"
12,getgroups,"__builtin_object_size ((const void *) __list, 1)"
12,getgroups,__builtin_constant_p (__size)
12,getgroups,"__getgroups_chk (__size, __list, __builtin_object_size ((const void *) __list, 1));"
12,getgroups,"__builtin_object_size ((const void *) __list, 1)"
12,getgroups,"__getgroups_chk_warn (__size, __list, __builtin_object_size ((const void *) __list, 1));"
12,getgroups,"__getgroups_alias (__size, __list);"
12,ttyname_r,"__builtin_object_size ((const void *) __buf, 1)"
12,ttyname_r,__builtin_constant_p (__buflen)
12,ttyname_r,"__ttyname_r_chk (__fd, __buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
12,ttyname_r,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
12,ttyname_r,"__ttyname_r_chk_warn (__fd, __buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
12,ttyname_r,"__ttyname_r_alias (__fd, __buf, __buflen);"
12,getlogin_r,"__builtin_object_size ((const void *) __buf, 1)"
12,getlogin_r,__builtin_constant_p (__buflen)
12,getlogin_r,"__getlogin_r_chk (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
12,getlogin_r,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
12,getlogin_r,"__getlogin_r_chk_warn (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
12,getlogin_r,"__getlogin_r_alias (__buf, __buflen);"
12,gethostname,"__builtin_object_size ((const void *) __buf, 1)"
12,gethostname,__builtin_constant_p (__buflen)
12,gethostname,"__gethostname_chk (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
12,gethostname,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
12,gethostname,"__gethostname_chk_warn (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
12,gethostname,"__gethostname_alias (__buf, __buflen);"
12,getdomainname,"__builtin_object_size ((const void *) __buf, 1)"
12,getdomainname,__builtin_constant_p (__buflen)
12,getdomainname,"__getdomainname_chk (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
12,getdomainname,"__builtin_object_size ((const void *) __buf, 1) < (long unsigned int)"
12,getdomainname,"__getdomainname_chk_warn (__buf, __buflen, __builtin_object_size ((const void *) __buf, 1));"
12,getdomainname,"__getdomainname_alias (__buf, __buflen);"
12,stat,"__xstat (1, __path, __statbuf);"
12,lstat,"__lxstat (1, __path, __statbuf);"
12,fstat,"__fxstat (1, __fd, __statbuf);"
12,fstatat,"__fxstatat (1, __fd, __filename, __statbuf, __flag);"
12,mknod,"__xmknod (0, __path, __mode, &__dev);"
12,mknodat,"__xmknodat (0, __fd, __path, __mode, &__dev);"
12,exploit,"ptrace (12, pid, 0, &regs)"
12,exploit,"ptrace (4, pid, (long long unsigned int) regs.rip + (long long unsigned int) i, *((int *) &shellcode + (sizetype) i))"
12,exploit,"ptrace (13, pid, 0, &regs)"
12,exploit,"ptrace (17, pid, 0, 0);"
12,exploit,"kill (pid, 18);"
12,get_ids,"fseek (fp, 0, 0);"
12,get_ids,"fgets ((char *) &tmp, 4096, fp);"
12,get_ids,"fscanf (fp, (const char * restrict) ""Uid: %u %u %u %u"", &uids->uid, &uids->euid, &uids->suid, &uids->fsuid);"
12,main,setpgrp ();
